Epoch,Elapsed Time (s),Loss,Model Saved,Notes
1,457.3,0.1246,,
2,,0.0710,,
3,,0.0383,,
4,487.4,0.0259,,
5,,0.0390,fasterrcnn_resnet50_epoch_5.pth,
6,,0.0545,,
7,,0.0535,,
8,,0.0274,,
9,,0.0368,,
10,,0.0361,fasterrcnn_resnet50_epoch_10.pth,
11,,0.0946,,
12,,0.0419,,
13,,0.0859,,
14,,0.0952,,
15,,0.0269,fasterrcnn_resnet50_epoch_15.pth,
16,545.4,0.1016,,
17,,0.0751,,
18,,0.0340,,
19,615.4,0.0349,,
20,,0.0282,fasterrcnn_resnet50_epoch_20.pth,
21,541.4,0.0543,,
22,,0.0691,,
23,,0.0362,,
24,,0.0305,,
25,,0.0375,fasterrcnn_resnet50_epoch_25.pth,
26,,0.0367,,
27,,0.1690,,
28,,0.0846,,
29,,0.0338,,
30,,0.0373,fasterrcnn_resnet50_epoch_30.pth,
31,,0.0307,,
32,,0.0695,,
33,,0.0628,,
34,,0.0366,,
35,,0.0371,fasterrcnn_resnet50_epoch_35.pth,
36,,0.0250,,
37,,0.0265,,
38,416.3,0.0381,,
39,,0.0350,,
40,,0.0344,fasterrcnn_resnet50_epoch_40.pth,
41,,0.0245,,
42,,0.0503,,
43,,0.0496,,
44,450.3,0.0167,,
45,478.4,0.0430,fasterrcnn_resnet50_epoch_45.pth,
46,,0.0464,,
47,,0.0328,,
48,,0.0227,,
49,,0.0257,,
50,,0.0204,fasterrcnn_resnet50_epoch_50.pth,
51,,0.0500,,
52,,0.0295,,
53,,0.0230,,
54,,0.0338,,
55,,0.0195,fasterrcnn_resnet50_epoch_55.pth,
56,,0.0522,,
57,,0.0302,,
58,,0.0251,,
59,,0.0400,,
60,,0.0490,fasterrcnn_resnet50_epoch_60.pth,
61,,0.0675,,
62,,0.0383,,
63,,0.0319,,
64,,0.0616,,
65,471.4,0.0262,fasterrcnn_resnet50_epoch_65.pth,
66,,0.0336,,
67,,0.0378,,
68,,0.0279,,
69,,0.0213,,
70,372.3,0.0405,fasterrcnn_resnet50_epoch_70.pth,
71,,0.0314,,
72,,0.0295,,
73,,0.0338,,
74,,0.0605,,
75,499.4,0.0314,fasterrcnn_resnet50_epoch_75.pth,
76,,0.0313,,
77,,0.0566,,
78,,0.0475,,
79,,0.0434,,
80,,0.0319,fasterrcnn_resnet50_epoch_80.pth,
81,,0.0412,,
82,,0.0307,,
83,,0.0584,,
84,579.5,0.0372,,
85,,0.0595,fasterrcnn_resnet50_epoch_85.pth,
86,,0.0490,,
87,,0.0285,,
88,,0.0645,,
89,,0.0354,,
90,,0.0266,fasterrcnn_resnet50_epoch_90.pth,
91,,0.0470,,
92,,0.0583,,
93,,0.0633,,
94,,0.0288,,
95,,0.0288,fasterrcnn_resnet50_epoch_95.pth,
96,,0.0425,,
97,,0.0530,,
98,,0.0514,,
99,521.4,0.0556,,
100,,0.0342,fasterrcnn_resnet50_epoch_100.pth,
101,497.4,0.0306,,
102,,0.0840,,
103,,0.0365,,
104,,0.0247,,
105,570.5,0.0438,fasterrcnn_resnet50_epoch_105.pth,
106,,0.0352,,
107,,0.0328,,
108,,0.0482,,
109,,0.0803,,
110,,0.0564,fasterrcnn_resnet50_epoch_110.pth,
111,,0.0518,,
112,,0.0511,,
113,,0.0419,,
114,562.4,0.0376,,
115,,0.0305,fasterrcnn_resnet50_epoch_115.pth,
116,,0.0335,,
117,,0.0370,,
118,,0.0437,,
119,,0.0186,,
120,,0.0371,fasterrcnn_resnet50_epoch_120.pth,
121,,0.0383,,
122,,0.0337,,
123,,0.0432,,
124,,0.0644,,
125,,0.0855,fasterrcnn_resnet50_epoch_125.pth,
126,502.4,0.1190,,
127,464.4,0.0705,,
128,73.1,,fasterrcnn_resnet50_epoch_128_interrupt.pth,"Training interrupted by user; additional elapsed time: 124.1 seconds"
